provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,rend_Cebada,rend_Grano se soja,rend_Maíz,rend_Semilla de girasol,rend_Sorgo,rend_Trigo
Cordoba,2021,17.336215670958904,23.40123287671233,12.041643835616437,804.20000484,802.1000043399999,13807930.591558,17.29289472712329,1432.18421843,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Cordoba,2022,17.633664469589043,24.10041095890411,11.766164383561643,610.10000172,610.10000172,13677737.49943,17.712184803561644,1593.27387856,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Cordoba,2023,18.565713385753423,24.453698630136987,13.254383561643836,722.30000503,722.30000503,12647189.11101,17.74449534109589,1477.40295572,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
Cordoba,2024,17.5272883215847,23.321584699453553,12.43551912568306,1182.99999679,1182.99999679,12666982.08634,17.148383080054643,1396.12153663,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Entre_Rios,2010,17.824385755068494,22.811965526027397,13.057992928356164,1232.30001129,1232.30001129,12724697.796871,17.718033887123287,1323.5344169,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Entre_Rios,2011,17.991777242739726,23.126897003561645,13.06443125279452,937.09998738,937.09998738,13146837.08304,17.921521528767123,1399.16576371,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Entre_Rios,2012,18.728456875956283,23.764636393442622,13.9987894194153,1484.59999669,1484.59999669,12558213.89414,17.573836407650273,1359.53678181,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Entre_Rios,2013,18.29709702082192,23.662102523287672,13.286212080273973,892.5999904,892.5999904,12962494.20878,17.655946355616436,1424.33233293,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Entre_Rios,2014,18.361166558630135,23.319910712328767,13.737444964931507,1445.79999908,1445.79999908,12241264.10677,17.838666665753426,1282.30628771,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Entre_Rios,2015,18.679950875890412,23.559362802739727,14.09223945671233,1155.90000164,1155.90000164,12623418.72866,17.38333547369863,1323.70605416,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Entre_Rios,2016,18.015146660928963,22.86846154918033,13.441139134480874,1304.09999297,1304.09999297,12091040.09107,17.32030798251366,1314.85637312,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Entre_Rios,2017,19.045382305479453,23.93068493150685,14.512602739726029,1586.1000162,1585.9000161,12188119.08788,19.24990770547945,1333.95076951,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Entre_Rios,2018,18.798236247945205,23.768082191780824,14.096849315068495,1063.1999863,1063.1999863,12499631.62735,18.613127771232875,1367.52131055,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Entre_Rios,2019,18.350011609315068,23.26821917808219,13.773287671232877,1421.80001871,1421.80001871,11956114.0088,18.189857005479453,1250.76504418,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Entre_Rios,2020,18.763456253825137,24.05532786885246,13.69275956284153,804.20001429,804.20001429,13477399.3358,18.445206892896174,1476.7628634,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
Entre_Rios,2021,19.147568414246575,24.655616438356162,13.982739726027397,748.90001109,748.90001109,13318836.91022,18.370560984383562,1502.79155617,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Entre_Rios,2022,18.355411025753423,23.80849315068493,13.233835616438357,863.00001374,863.00001374,13015598.41048,18.484753341369863,1457.6993334,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Entre_Rios,2023,19.858590155068494,25.101095890410956,14.992602739726028,994.7999918300001,994.7999918300001,12349029.7371,19.526195661643836,1471.07722233,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
