provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,provincia_norm,provincia_est,rend_Cebada,rend_Girasol,rend_Maíz,rend_Soja,rend_Sorgo,rend_Trigo
Chaco,2015,22.100069590410957,26.336684761643838,18.373260296986302,1793.09997777,1793.09997777,12068901.848397,17.159761983561644,1309.76778424,CHACO,CHACO,,1697.0,5558.0,1895.6666666666667,3571.0,1471.0
Chaco,2016,20.969328908469944,25.41911462978142,16.910098399453553,1625.29999108,1625.29999108,12214614.79547,16.443916159016396,1343.77947769,CHACO,CHACO,,1488.0,6513.0,3074.0,4182.0,1432.0
Chaco,2017,22.262089039178083,26.944109589041098,18.09315068493151,1521.99999273,1521.99999273,11940027.357346,19.037363846575342,1465.43037911,CHACO,CHACO,,1709.0,5049.0,2136.0,3532.0,1420.0
Chaco,2018,21.910085575342467,26.81356164383562,17.518767123287674,1386.49999079,1386.49999079,12276822.494925,18.3045568,1447.40912083,CHACO,CHACO,,1705.0,5250.0,2547.3333333333335,3512.0,1901.0
Chaco,2019,21.884143683561643,26.553424657534247,17.638219178082192,1494.10002409,1494.10002409,12071225.47508,18.63985415479452,1436.48289681,CHACO,CHACO,,1824.0,5751.0,2741.6666666666665,3980.0,2029.0
Chaco,2020,22.66991688661202,28.102868852459014,17.7655737704918,760.40001007,760.40001007,13335127.44523,19.256914176229508,1747.28206335,CHACO,CHACO,,1278.0,4690.0,1871.3333333333333,3182.0,814.0
Chaco,2021,21.79525661013699,26.937260273972605,17.143287671232876,1262.69999635,1262.69999635,13064747.26017,17.61194767589041,1538.4352438,CHACO,CHACO,,1775.0,4601.0,2578.6666666666665,2700.0,1085.0
Chaco,2022,22.048167828767124,27.444109589041098,17.098767123287672,1253.09996097,1253.09996097,12787764.9016301,19.21713474931507,1694.62884716,CHACO,CHACO,,1628.0,3261.0,1802.0,2238.0,927.0
Chaco,2023,23.217870964383565,28.152876712328766,18.80986301369863,1609.5999977000001,1609.5999977000001,12146596.6044,18.730961838356166,1548.36966258,CHACO,CHACO,,1542.0,1798.0,1141.0,1758.0,848.0
Chaco,2024,22.489833734972677,27.29849726775956,18.280464480874315,1708.70002119,1708.70002119,12376670.09856,18.071250470765026,1488.33674845,CHACO,CHACO,,2153.0,1890.0,952.6666666666666,1605.0,1156.0
Cordoba,2010,17.644016579178082,23.241294335068492,12.556773748054795,630.69998877,630.69998877,13271704.04505,16.584665430410958,1428.57662071,CORDOBA,CORDOBA,2237.0,1972.0,6163.0,2222.0,5136.0,3405.0
Cordoba,2011,17.942069982465753,23.750609375342467,12.616910732208218,536.20000325,534.7000035,13841701.35436,16.84018260739726,1496.61037498,CORDOBA,CORDOBA,1247.0,1938.0,5536.0,1867.3333333333333,4973.0,2928.0
Cordoba,2012,18.351537060382515,24.012483418032787,13.362619953387977,782.49999654,782.49999654,13200669.2802,17.396283612021858,1438.841275,CORDOBA,CORDOBA,1990.0,2073.0,6814.0,2391.0,5550.0,2918.0
Cordoba,2013,18.29468420739726,24.31074639452055,12.857184706978082,535.20001335,535.20001335,13831941.275,16.661249417808218,1547.56738304,CORDOBA,CORDOBA,1395.0,1799.0,7060.0,2998.0,4910.0,1620.0
Cordoba,2014,18.004986735342467,23.376636747945206,13.12759563158904,751.29999303,751.29999303,12960013.79397,17.11556244109589,1382.29926218,CORDOBA,CORDOBA,2148.5,2178.0,7502.0,3447.0,6175.0,2698.0
Cordoba,2015,18.172104443287672,23.310472410958905,13.635129908821916,735.50000358,735.50000358,12444965.53763,16.199763892876714,1296.24136027,CORDOBA,CORDOBA,1212.5,1979.0,7657.0,3293.6666666666665,5648.0,2552.0
Cordoba,2016,17.36386156693989,22.500324926229506,12.732018929344264,733.60000514,733.60000514,12432776.39117,16.395067695628416,1322.92724359,CORDOBA,CORDOBA,2780.0,2696.0,7649.0,3146.0,5805.0,3438.0
Cordoba,2017,17.60698067260274,23.20698630136986,12.731917808219178,780.49998903,780.49998903,12878862.16382,18.10862000712329,1386.45650932,CORDOBA,CORDOBA,2063.0,2139.0,6203.0,2357.0,4830.0,3512.0
Cordoba,2018,17.535707756438356,23.28849315068493,12.476438356164383,692.80000333,692.40000337,12817811.598085,17.209841763835616,1398.59764994,CORDOBA,CORDOBA,2473.0,2194.0,8024.0,3468.3333333333335,5766.0,2734.0
Cordoba,2019,17.076449775068493,22.561095890410957,12.267123287671232,919.1000209,919.000021,12727970.95374,17.179401793972602,1310.9328495,CORDOBA,CORDOBA,2784.0,2323.0,7781.0,2947.6666666666665,5570.0,2975.0
Cordoba,2020,17.53395954125683,23.652595628415302,12.088934426229509,614.10001489,614.10001489,13726344.0107,17.441892760928962,1493.57054375,CORDOBA,CORDOBA,1683.0,2240.0,8288.0,3129.6666666666665,5735.0,1992.0
Cordoba,2021,17.336215670958904,23.40123287671233,12.041643835616437,804.20000484,802.1000043399999,13807930.591558,17.29289472712329,1432.18421843,CORDOBA,CORDOBA,2633.0,2131.0,7505.0,2769.0,4988.0,3288.5
Cordoba,2022,17.633664469589043,24.10041095890411,11.766164383561643,610.10000172,610.10000172,13677737.49943,17.712184803561644,1593.27387856,CORDOBA,CORDOBA,1860.0,1995.0,5359.0,1473.0,3604.0,2225.5
Cordoba,2023,18.565713385753423,24.453698630136987,13.254383561643836,722.30000503,722.30000503,12647189.11101,17.74449534109589,1477.40295572,CORDOBA,CORDOBA,2079.0,2425.0,7294.0,2917.6666666666665,4931.0,2342.0
Cordoba,2024,17.5272883215847,23.321584699453553,12.43551912568306,1182.99999679,1182.99999679,12666982.08634,17.148383080054643,1396.12153663,CORDOBA,CORDOBA,2269.0,2504.0,7963.0,3087.0,5250.0,2527.5
Entre_Rios,2010,17.824385755068494,22.811965526027397,13.057992928356164,1232.30001129,1232.30001129,12724697.796871,17.718033887123287,1323.5344169,ENTRE RIOS,ENTRE RIOS,2836.0,1915.0,5334.0,2252.3333333333335,4994.0,4044.0
Entre_Rios,2011,17.991777242739726,23.126897003561645,13.06443125279452,937.09998738,937.09998738,13146837.08304,17.921521528767123,1399.16576371,ENTRE RIOS,ENTRE RIOS,2511.0,1899.0,5841.0,2244.6666666666665,5751.0,3663.0
Entre_Rios,2012,18.728456875956283,23.764636393442622,13.9987894194153,1484.59999669,1484.59999669,12558213.89414,17.573836407650273,1359.53678181,ENTRE RIOS,ENTRE RIOS,2131.0,1409.0,7020.0,2418.0,4867.0,2718.0
Entre_Rios,2013,18.29709702082192,23.662102523287672,13.286212080273973,892.5999904,892.5999904,12962494.20878,17.655946355616436,1424.33233293,ENTRE RIOS,ENTRE RIOS,1365.5,1452.0,5466.0,2598.6666666666665,4683.0,2959.0
Entre_Rios,2014,18.361166558630135,23.319910712328767,13.737444964931507,1445.79999908,1445.79999908,12241264.10677,17.838666665753426,1282.30628771,ENTRE RIOS,ENTRE RIOS,3157.0,1904.0,7033.0,2620.3333333333335,5200.0,2646.0
Entre_Rios,2015,18.679950875890412,23.559362802739727,14.09223945671233,1155.90000164,1155.90000164,12623418.72866,17.38333547369863,1323.70605416,ENTRE RIOS,ENTRE RIOS,3337.0,2179.0,6799.0,1954.6666666666667,4676.0,3132.0
Entre_Rios,2016,18.015146660928963,22.86846154918033,13.441139134480874,1304.09999297,1304.09999297,12091040.09107,17.32030798251366,1314.85637312,ENTRE RIOS,ENTRE RIOS,3375.0,2124.0,6735.0,2711.0,5252.0,3242.0
Entre_Rios,2017,19.045382305479453,23.93068493150685,14.512602739726029,1586.1000162,1585.9000161,12188119.08788,19.24990770547945,1333.95076951,ENTRE RIOS,ENTRE RIOS,3453.0,1972.0,4780.0,1096.6666666666667,3823.0,2687.0
Entre_Rios,2018,18.798236247945205,23.768082191780824,14.096849315068495,1063.1999863,1063.1999863,12499631.62735,18.613127771232875,1367.52131055,ENTRE RIOS,ENTRE RIOS,3483.0,2158.0,7449.0,2709.3333333333335,5330.0,3632.0
Entre_Rios,2019,18.350011609315068,23.26821917808219,13.773287671232877,1421.80001871,1421.80001871,11956114.0088,18.189857005479453,1250.76504418,ENTRE RIOS,ENTRE RIOS,3365.0,2218.0,6816.0,2115.3333333333335,5394.0,2749.0
Entre_Rios,2020,18.763456253825137,24.05532786885246,13.69275956284153,804.20001429,804.20001429,13477399.3358,18.445206892896174,1476.7628634,ENTRE RIOS,ENTRE RIOS,2691.0,1979.0,5013.0,1794.6666666666667,4297.0,2551.0
Entre_Rios,2021,19.147568414246575,24.655616438356162,13.982739726027397,748.90001109,748.90001109,13318836.91022,18.370560984383562,1502.79155617,ENTRE RIOS,ENTRE RIOS,3267.0,1847.0,3762.0,2375.3333333333335,4476.0,3358.0
Entre_Rios,2022,18.355411025753423,23.80849315068493,13.233835616438357,863.00001374,863.00001374,13015598.41048,18.484753341369863,1457.6993334,ENTRE RIOS,ENTRE RIOS,2445.0,1478.0,2482.0,969.6666666666666,2721.0,3234.0
Entre_Rios,2023,19.858590155068494,25.101095890410956,14.992602739726028,994.7999918300001,994.7999918300001,12349029.7371,19.526195661643836,1471.07722233,ENTRE RIOS,ENTRE RIOS,3734.0,1835.0,5729.0,2491.6666666666665,4946.0,3382.0
Entre_Rios,2024,18.960035368306013,24.037841530054646,14.311612021857924,1226.80001307,1226.80001307,12314644.542844,18.740947415300546,1361.68431369,ENTRE RIOS,ENTRE RIOS,3351.0,2211.0,6603.0,2697.3333333333335,4472.0,3207.0
La_Pampa,2010,16.40142471863014,22.321424735342468,11.012931656493151,520.1999994399999,520.1999994399999,13794477.96436,19.734963329041097,1600.59384,LA PAMPA,LA PAMPA,1835.0,1805.0,4379.0,1405.0,3361.0,1981.0
La_Pampa,2011,16.30614521589041,22.13676726136986,11.020054962369862,604.39999578,601.69999578,13706468.5589,19.555326484931506,1584.02090008,LA PAMPA,LA PAMPA,1935.5,1758.0,4266.0,2349.0,4770.0,2555.0
La_Pampa,2012,16.411550944262295,21.981114864480872,11.400104047486339,762.30000708,761.9000069800001,13393732.8167,18.915617512295082,1504.44723529,LA PAMPA,LA PAMPA,2117.0,1877.0,4159.0,1723.6666666666667,2209.0,2664.0
La_Pampa,2013,16.841322148767123,22.809506906027398,11.413205655799999,460.90001143,433.40000843,13643990.30386,19.620312182465753,1624.15761532,LA PAMPA,LA PAMPA,1612.0,1463.0,5660.0,1926.3333333333333,2152.0,1568.0
La_Pampa,2014,16.557475021643835,22.186356293150684,11.446630353684933,614.70000405,614.00000435,13038312.22723,19.620703239726026,1527.79738569,LA PAMPA,LA PAMPA,2179.5,2185.0,6516.0,2547.3333333333335,3426.0,2568.0
La_Pampa,2015,16.41335977369863,21.88306861369863,11.559096068164385,700.09999778,700.09999778,13050924.56978,18.40969201780822,1426.2864833,LA PAMPA,LA PAMPA,2272.0,2085.0,7199.0,3132.0,3736.0,2159.0
La_Pampa,2016,15.806695009562842,20.96485809672131,11.15743187928142,792.10000554,792.10000554,12447501.0199955,18.312288197540983,1382.32744069,LA PAMPA,LA PAMPA,3044.0,2135.0,6455.0,2880.3333333333335,3074.0,2830.0
La_Pampa,2017,15.788944111068494,21.43178082191781,10.821917808219178,697.0000020900001,696.90000209,12963561.131616,20.67713047671233,1445.97977259,LA PAMPA,LA PAMPA,2628.0,2501.0,5925.0,2465.3333333333335,2612.0,2211.0
La_Pampa,2018,15.859189502602739,21.67356164383562,10.59054794520548,522.89999607,521.69999507,12690755.458882,20.2341556,1499.94866177,LA PAMPA,LA PAMPA,2858.0,2275.0,7956.0,3238.6666666666665,2815.0,2431.0
La_Pampa,2019,15.701483975342464,21.778767123287672,10.235890410958904,383.49999816999997,382.49999816999997,13254355.026325,20.352386217808217,1546.88153444,LA PAMPA,LA PAMPA,1519.0,2145.0,8131.0,3165.3333333333335,3662.0,1319.0
La_Pampa,2020,15.620121803551912,21.560382513661203,10.35,465.89999894,465.89999894,13412927.83465,20.637013192622952,1526.24187834,LA PAMPA,LA PAMPA,2487.0,2247.0,6762.0,2227.6666666666665,3121.0,2158.0
La_Pampa,2021,15.573875551780821,21.546849315068496,10.336164383561643,699.2999939,699.0999939,13250788.12345,19.155666689041098,1418.88393429,LA PAMPA,LA PAMPA,2719.0,2413.0,7150.0,2648.0,2646.0,2577.0
La_Pampa,2022,15.54912668849315,21.7572602739726,10.09013698630137,511.79999562,510.09999462,13259936.85371,20.26186592191781,1580.18713084,LA PAMPA,LA PAMPA,2508.0,2238.0,6513.0,1706.0,2111.0,2127.0
La_Pampa,2023,15.96692923589041,21.901095890410957,10.663972602739726,486.10000524,485.40000528,12781488.73325,20.369649580821918,1506.19264756,LA PAMPA,LA PAMPA,2756.0,2290.0,6724.0,2891.3333333333335,3848.0,2105.0
La_Pampa,2024,15.76841413251366,21.63428961748634,10.503142076502732,551.09999714,550.6999971500001,13123400.6759,20.986866919398906,1540.72463238,LA PAMPA,LA PAMPA,2238.0,2475.0,6247.0,2316.3333333333335,3306.0,1876.0
Salta,2010,21.183977705479453,26.83821263561644,16.108349563835617,596.59999722,596.59999722,12366890.4291175,14.10047756109589,1462.88918798,SALTA,SALTA,,,5540.0,2967.6666666666665,,1274.0
Salta,2011,21.347202811506847,26.943007260273973,16.46355505479452,769.99999464,769.99999464,12182001.32818,13.950847333150685,1451.26767968,SALTA,SALTA,,,5052.0,1255.3333333333333,,1307.0
Salta,2012,22.391981278688522,27.98215599180328,17.478057645628414,606.79999439,606.79999439,12630456.99554,14.501127036338797,1530.80559751,SALTA,SALTA,,,1675.0,838.0,,893.0
Salta,2013,22.66014211369863,28.672185134246575,17.2228701430137,421.00000048,421.00000048,12958835.79796,14.101958209041097,1655.38953427,SALTA,SALTA,,,5694.0,1833.6666666666667,,2200.0
Salta,2014,22.09590715479452,27.595061978082192,17.345198966027397,629.49999913,629.49999913,11958372.34635,14.447682887945206,1457.75650397,SALTA,SALTA,,,5991.0,2604.3333333333335,,1651.0
Salta,2015,21.93890383287671,27.082870265753424,17.567116785753424,781.09999926,781.09999926,11621567.00761,13.813356629315068,1357.06902366,SALTA,SALTA,,,5662.0,2151.6666666666665,,1628.0
Salta,2016,21.126844204918033,26.576554918032787,16.338576730601094,845.5000021,845.5000021,11899938.297692,13.584940517213116,1423.50360967,SALTA,SALTA,,,6519.0,2445.3333333333335,,1784.0
Salta,2017,21.912380108767124,27.25904109589041,17.394520547945206,1180.69998343,1180.69998343,11513244.621447999,16.813125865479453,1473.54795496,SALTA,SALTA,,,5984.0,2235.6666666666665,,1137.0
